web-scraper-order,web-scraper-start-url,txt,txt-href
"1653843460-162","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","快樂火男","https://poe.ninja/challenge/builds/char/vergil0202/%E5%BF%AB%E6%A8%82%E7%81%AB%E7%94%B7?i=42&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-146","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","RfBoschi","https://poe.ninja/challenge/builds/char/tralalalasilala/RfBoschi?i=26&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-156","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Anotherbadcharacter","https://poe.ninja/challenge/builds/char/Jordan96/Anotherbadcharacter?i=36&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-142","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","sentinel_zeiphe","https://poe.ninja/challenge/builds/char/drbayneyo/sentinel_zeiphe?i=22&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-155","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","LostArkㆍReFugee","https://poe.ninja/challenge/builds/char/Sseven/LostArk%E3%86%8DReFugee?i=35&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-151","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","CorkSlut","https://poe.ninja/challenge/builds/char/CorkLepton/CorkSlut?i=31&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-169","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","InExodus","https://poe.ninja/challenge/builds/char/xapachex/InExodus?i=49&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-140","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Izzach","https://poe.ninja/challenge/builds/char/CoreKey/Izzach?i=20&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-150","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","WattyMidriff","https://poe.ninja/challenge/builds/char/AsunaxMikasa/WattyMidriff?i=30&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-131","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","ExtensiveMemeing","https://poe.ninja/challenge/builds/char/Povain/ExtensiveMemeing?i=11&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-144","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Zerolimitz_RF","https://poe.ninja/challenge/builds/char/Zerolimitz/Zerolimitz_RF?i=24&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-136","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","AfterBurningDifus","https://poe.ninja/challenge/builds/char/lceworg/AfterBurningDifus?i=16&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-134","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","OopsPlayingRFAgain","https://poe.ninja/challenge/builds/char/TealOrange45/OopsPlayingRFAgain?i=14&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-164","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Shmel_Ya_Later","https://poe.ninja/challenge/builds/char/Andross_/Shmel_Ya_Later?i=44&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-141","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","RarestRasa","https://poe.ninja/challenge/builds/char/GannonB/RarestRasa?i=21&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-132","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","nioRF","https://poe.ninja/challenge/builds/char/nio94/nioRF?i=12&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-165","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","CtyptoCAXAP","https://poe.ninja/challenge/builds/char/rogertht/CtyptoCAXAP?i=45&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-160","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","NecksBurninPalmsSweatin","https://poe.ninja/challenge/builds/char/skyzsong/NecksBurninPalmsSweatin?i=40&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-152","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","OmegaRhythm","https://poe.ninja/challenge/builds/char/Exixo/OmegaRhythm?i=32&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-158","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","ImFiredUpDude","https://poe.ninja/challenge/builds/char/Doom2soon/ImFiredUpDude?i=38&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-166","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","RFKilba","https://poe.ninja/challenge/builds/char/kilba/RFKilba?i=46&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-153","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","InffiRF","https://poe.ninja/challenge/builds/char/Hajopu/InffiRF?i=33&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-145","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","RighteousFirewave","https://poe.ninja/challenge/builds/char/Wavethewizard/RighteousFirewave?i=25&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-168","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","AssenSmeltingWine","https://poe.ninja/challenge/builds/char/AssenVIK/AssenSmeltingWine?i=48&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-161","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","SarengRF","https://poe.ninja/challenge/builds/char/Sareng/SarengRF?i=41&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-129","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","TrapsAreRighteous","https://poe.ninja/challenge/builds/char/adkiene/TrapsAreRighteous?i=9&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-139","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","SENTINELko","https://poe.ninja/challenge/builds/char/koer520/SENTINELko?i=19&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-130","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Firebeard","https://poe.ninja/challenge/builds/char/MugglyPOE/Firebeard?i=10&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-138","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","PeePeeWeenieButtCheeks","https://poe.ninja/challenge/builds/char/Joseph123090/PeePeeWeenieButtCheeks?i=18&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-157","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Varttimanni_RF_Sentinel","https://poe.ninja/challenge/builds/char/crisis84/Varttimanni_RF_Sentinel?i=37&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-137","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","PerwooleReF","https://poe.ninja/challenge/builds/char/yeens112/PerwooleReF?i=17&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-128","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","MyCumIsRed","https://poe.ninja/challenge/builds/char/JokuMeemi/MyCumIsRed?i=8&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-167","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Bashx","https://poe.ninja/challenge/builds/char/Legendrain/Bashx?i=47&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-143","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","xzCoffee","https://poe.ninja/challenge/builds/char/MirrahsDawn/xzCoffee?i=23&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-148","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","Hcaras","https://poe.ninja/challenge/builds/char/SarachNo1/Hcaras?i=28&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
"1653843460-149","https://poe.ninja/challenge/builds?class=Inquisitor&item=!Bottled-Faith,!Ashes-of-the-Stars,!Skin-of-the-Lords,!Mageblood,!Replica-Soul-Tether,!Pyre,!Death-Rush&skill=Righteous-Fire","KayBurnUrAss","https://poe.ninja/challenge/builds/char/Kayern/KayBurnUrAss?i=29&search=class%3DInquisitor%26item%3D!Bottled-Faith%2C!Ashes-of-the-Stars%2C!Skin-of-the-Lords%2C!Mageblood%2C!Replica-Soul-Tether%2C!Pyre%2C!Death-Rush%26skill%3DRighteous-Fire"
